step,active_joint_pos,sde_joint_1_pos,sde_joint_2_pos,sde_joint_3_pos,sde_joint_4_pos,sde_joint_5_pos,rfe_1_x,rfe_1_y,rfe_1_z,rfe_2_x,rfe_2_y,rfe_2_z,rfe_3_x,rfe_3_y,rfe_3_z,rfe_4_x,rfe_4_y,rfe_4_z,rfe_5_x,rfe_5_y,rfe_5_z,rfe_6_x,rfe_6_y,rfe_6_z
10,-6.311577848063672e-05,-3.334975372591001e-05,0.00012187499118197954,-3.209047725340999e-05,8.392324876491056e-06,-2.062259502016918e-06,0.0,0.0,0.5,0.1199999998099103,-5.377846627033005e-09,0.4999932456310776,0.3599999990787638,-2.029363865661577e-08,0.49997451196886583,0.5999999990280354,-1.636475120434582e-08,0.4999794465006864,0.8399999990245283,-1.73977904975342e-08,0.49997814904298976,1.079999999024298,-1.7133183081135533e-08,0.4999784813797472
11,-5.0805653252183886e-05,-7.822486669586726e-05,0.0001630177428408507,-4.29236291920149e-05,1.1225418258674232e-05,-2.7584400478739074e-06,0.0,0.0,0.5,0.11999999976098391,-6.030352309765639e-09,0.49999242610898803,0.359999998644312,-2.446381406662353e-08,0.49996927438863276,0.5999999985668351,-1.9608356575764902e-08,0.49997537265685327,0.8399999985614788,-2.0885022886488594e-08,0.4999737692129748,1.0799999985611275,-2.055801173478253e-08,0.4999741799264283
12,-1.969569297541035e-05,-0.00015584166168946227,0.00022177468419672005,-5.8394708123753594e-05,1.527142499683542e-05,-3.7526716503166298e-06,0.0,0.0,0.5,0.11999999984512713,-4.854190123061816e-09,0.4999939033235448,0.3599999978472621,-2.9510449178640306e-08,0.49996293600865893,0.5999999977086463,-2.3015878942651333e-08,0.49997109293956615,0.8399999976990632,-2.472352415276153e-08,0.4999689482027342,1.0799999976984345,-2.428612010266966e-08,0.4999694975654303
13,2.0943935305411448e-05,-0.00025107386349600055,0.00029074717774888435,-7.655560011324346e-05,2.002087208192268e-05,-4.919760568413845e-06,0.0,0.0,0.5,0.1199999999767248,-1.8818110234404403e-09,0.49999763651759227,0.3599999962791213,-3.542499508619791e-08,0.4999555075660426,0.5999999960225746,-2.6589569342028112e-08,0.4999666045216089,0.8399999960048384,-2.8912705580986877e-08,0.49996368675167174,1.0799999960036748,-2.8317646868405133e-08,0.499964434122572
14,3.946050954507413e-05,-0.000312273248808017,0.0003446728212664523,-9.075455621655412e-05,2.3734190384051806e-05,-5.8322398313216066e-06,0.0,0.0,0.5,0.1199999999736811,2.0010734519884254e-09,0.5000025132714399,0.35999999361850704,-4.197412787135013e-08,0.4999472821066682,0.5999999931775729,-3.03908636003903e-08,0.499961830241942,0.8399999931470892,-3.343650041122992e-08,0.4999580050390215,1.0799999931450892,-3.265637716063574e-08,0.4999589848438774
15,3.625615044134421e-05,-0.0003400959689687905,0.00038387256450272397,-0.00010107609206517153,2.6433483863886894e-05,-6.495541273949359e-06,0.0,0.0,0.5,0.1199999999065721,3.770226410958395e-09,0.5000047352596433,0.35999999097535734,-4.8361172508173235e-08,0.49993926022378593,0.5999999903556927,-3.462953132949385e-08,0.49995650663798535,0.8399999903128526,-3.824004961902927e-08,0.49995197196561186,1.079999990310042,-3.7315235117418486e-08,0.4999531334971247
16,1.1718187841394747e-05,-0.00033517403927393744,0.00040865554854917685,-0.0001076016117385495,2.8140042336051763e-05,-6.914896612011372e-06,0.0,0.0,0.5,0.11999999992112949,3.4640681921005995e-09,0.5000043507366729,0.35999998884289336,-5.459625106839761e-08,0.4999314292044622,0.5999999880742646,-3.930290712264521e-08,0.49995063705738746,0.839999988021126,-4.332405029248975e-08,0.4999455866559271,1.0799999880176396,-4.229405650712689e-08,0.4999468802885828
17,-3.37807243052888e-05,-0.00029811552553943245,0.0004193191950304848,-0.00011040942972320694,2.8874346932836214e-05,-7.095338745360069e-06,0.0,0.0,0.5,0.11999999999176106,1.1196059505563677e-09,0.5000014061820952,0.35999998743691863,-6.068911304272868e-08,0.4999237768037112,0.59999998656584,-4.440842373219791e-08,0.4999442247245131,0.8399999865056185,-4.868917383666256e-08,0.4999388482667085,1.0799999865016674,-4.759268314701182e-08,0.49994022541692335
18,-6.859349783808796e-05,-0.00028055944455792573,0.00044112137494272985,-0.00011615008094889718,3.0375645438404376e-05,-7.464255136944526e-06,0.0,0.0,0.5,0.11999999993153178,-3.2275553568424237e-09,0.49999594631436906,0.3599999867129174,-6.664913802975119e-08,0.4999162912411169,0.5999999857957847,-4.994361139927466e-08,0.4999372727412843,0.8399999857323793,-5.433606614008904e-08,0.49993175598674444,1.0799999857282192,-5.321096286247621e-08,0.4999331690732714
19,-8.375170892471542e-05,-0.00029713970543384646,0.00048121988232938356,-0.0001267082522257883,3.313682122627306e-05,-8.142762630003032e-06,0.0,0.0,0.5,0.11999999971769594,-6.55371712162203e-09,0.49999176878287493,0.35999998508876285,-7.327285651727702e-08,0.49990797210496346,0.5999999840737797,-5.569873915483085e-08,0.4999300445217473,0.8399999840036094,-6.031957606403405e-08,0.4999242409279709,1.0799999839990055,-5.9135973951907156e-08,0.4999257274867884
20,-7.962692961212583e-05,-0.0003472500059268238,0.0005393181544351627,-0.0001420058524000943,3.713745104852181e-05,-9.125842475170869e-06,0.0,0.0,0.5,0.11999999957913905,-8.001997650409815e-09,0.4999899497981264,0.3599999821697469,-8.078599625189981e-08,0.4998985358898661,0.5999999809618506,-6.161437158008899e-08,0.49992261471450644,0.8399999808783434,-6.665524715287066e-08,0.49991628356829276,1.0799999808728644,-6.536405453781113e-08,0.49991790525665186
21,-5.657584401569679e-05,-0.00043030833202806435,0.0006151314987994598,-0.00016196790860175753,4.2357925824939114e-05,-1.0408675802860104e-05,0.0,0.0,0.5,0.11999999961957314,-7.607898536254972e-09,0.49999044477148535,0.3599999777527033,-8.917920446671595e-08,0.4998879943425411,0.5999999762355401,-6.769297140652336e-08,0.49991498022646563,0.8399999761306521,-7.334243530673269e-08,0.4999078847166748,1.0799999761237706,-7.189535633849549e-08,0.4999097021923094
22,-1.4932731785801523e-05,-0.0005457692213077542,0.0007083930884519694,-0.00018652414249792603,4.8779862440751154e-05,-1.1986744755122063e-05,0.0,0.0,0.5,0.11999999980795044,-5.405498908425823e-09,0.4999932109008737,0.3599999713612069,-9.844350215324835e-08,0.49987635874027847,0.599999969387522,-7.393690313754186e-08,0.4999071380878994,0.8399999692510727,-8.038052207831177e-08,0.49989904514986305,1.0799999692421203,-7.873002502734047e-08,0.4999011181108009
